symbol_id,root,path,language,subsystem,symbol_kind,qualified_name,name,parent,visibility,line,end_line,is_async,decorators_or_modifiers,doc_or_signature,entrypoint_hint,parser_note,test_ref_count,test_refs,inventory_status,updated_at
CODE-SYMBOL-00001,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,onAvailable,onAvailable,,public,37,37,false,,override fun onAvailable(network: Network) {,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00002,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,onCapabilitiesChanged,onCapabilitiesChanged,,public,41,41,false,,override fun onCapabilitiesChanged(,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00003,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,onLost,onLost,,public,48,48,false,,override fun onLost(network: Network) {,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00004,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,ensureStarted,ensureStarted,,public,66,66,false,,fun ensureStarted(context: Context) {,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00005,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,start,start,,public,80,80,false,,"fun start(context: Context, listener: InterfaceUpdateListener) {",,kotlin_regex,30,POKROV-app/apps/android_shell/test/android_manifest_test.dart; POKROV-app/apps/ios_shell/test/packet_tunnel_project_test.dart; POKROV-app/packages/app_shell/test/app_first_runtime_bootstrap_test.dart; POKROV-app/packages/app_shell/test/pokrov_seed_app_test.dart; POKROV-app/packages/runtime_engine/test/runtime_engine_test.dart; portal_bot/tests/test_app_first_api.py; portal_bot/tests/test_economy_trial_service.py; portal_bot/tests/test_email_auth.py; portal_bot/tests/test_telegram_oidc_auth.py; tests/test_account_foundation.py; tests/test_admin_ops_api.py; tests/test_admin_payments_api.py; tests/test_api_auth_and_tickets.py; tests/test_api_lifecycle_smoke.py; tests/test_api_p0_extensions.py; tests/test_api_payments_callbacks.py; tests/test_bot_paywall.py; tests/test_brain_telegram_bot_menu_check.py; tests/test_client_ui_api_additions.py; tests/test_feedbackbot_moderation.py; tests/test_frontend_text_integrity.py; tests/test_helpbot_lifecycle.py; tests/test_internal_request_auth.py; tests/test_network_rollout_api.py; tests/test_payment_email_readiness_smoke.py; tests/test_pokrov_migration_defaults.py; tests/test_pokrov_support_agent_eval.py; tests/test_postgres_migration_helpers.py; tests/test_public_copy_guardrails.py; tests/test_release_workflow_security.py,inventory_only,2026-07-21
CODE-SYMBOL-00006,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,stop,stop,,public,96,96,false,,fun stop(listener: InterfaceUpdateListener?) {,,kotlin_regex,11,POKROV-app/apps/ios_shell/test/packet_tunnel_project_test.dart; POKROV-app/packages/runtime_engine/test/runtime_engine_test.dart; tests/test_account_foundation.py; tests/test_agent_docs_contract.py; tests/test_api_auth_and_tickets.py; tests/test_client_ui_api_additions.py; tests/test_pokrov_support_ai_kb_refresh.py; tests/test_remote_deploy_brain_portal_code.py; tests/test_support_agent_harness.py; tests/test_support_agent_provider.py; tests/test_support_ai_service.py,inventory_only,2026-07-21
CODE-SYMBOL-00007,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,connectivity,connectivity,,public,107,107,false,,private fun connectivity(context: Context): ConnectivityManager {,,kotlin_regex,2,POKROV-app/packages/app_shell/test/assistant_contract_test.dart; POKROV-app/packages/app_shell/test/pokrov_seed_app_test.dart,inventory_only,2026-07-21
CODE-SYMBOL-00008,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,activeNetwork,activeNetwork,,public,111,111,false,,private fun activeNetwork(): Network? {,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00009,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,require,require,,public,126,126,false,,fun require(): Network {,,kotlin_regex,5,POKROV-app/packages/app_shell/test/assistant_contract_test.dart; tests/test_admin_action_policy_coverage.py; tests/test_release_gate_check.py; tests/test_remote_postgres_candidate_gate.py; tests/test_validate_android_physical_audit_evidence.py,inventory_only,2026-07-21
CODE-SYMBOL-00010,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,notifyCurrentInterface,notifyCurrentInterface,,public,159,159,false,,private fun notifyCurrentInterface(network: Network) {,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00011,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,updateCurrentNetwork,updateCurrentNetwork,,public,209,209,false,,private fun updateCurrentNetwork(,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00012,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,isUsableNetwork,isUsableNetwork,,public,243,243,false,,private fun isUsableNetwork(capabilities: NetworkCapabilities?): Boolean {,,kotlin_regex,0,,inventory_only,2026-07-21
CODE-SYMBOL-00013,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,register,register,,public,249,249,false,,private fun register(connectivityManager: ConnectivityManager) {,,kotlin_regex,4,POKROV-app/packages/app_shell/test/app_first_runtime_bootstrap_test.dart; portal_bot/tests/test_email_auth.py; tests/test_client_ui_api_additions.py; webapp/e2e/settings-email-link.spec.ts,inventory_only,2026-07-21
CODE-SYMBOL-00014,POKROV-app,apps/android_shell/android/app/src/main/kotlin/space/pokrov/pokrov_android_shell/AndroidDefaultNetworkMonitor.kt,kotlin,POKROV client app,function,registerBestMatching,registerBestMatching,,public,265,265,false,,private fun registerBestMatching(connectivityManager: ConnectivityManager) {,,kotlin_regex,0,,inventory_only,2026-07-21
